ID	DESCRIPTION	VALUATION A	HAPPINESS A	TIME A	VALUATION B	HAPPINESS B	TIME B
81	A Chinese company copied our design and has just filed for an IPO!	-5	-3	-5	-1	-1	-2
82	You're being accused of sexual harassment.	-1	2	-1	-3	-2	0
83	We caught two employees getting it on in the office kitchen.	-1	-3	-1	-1	1	-3
84	I'm quitting to start a rap career.	-1	-3	0	0	3	-1
85	My first song made it to no. 1 - and it's named after your startup!	3	1	0	1	1	-1
86	I crashed the company Cadillac into a police car. On purpose.	-3	0	0	-5	1	0
87	Google just announced an exact copy of our product and made all their users sign up.	-2	3	-3	-3	-2	0
88	You hear gossip that one of your investors is bashing you to other investors.	-1	0	-1	0	0	-2
89	Changes to our partner's Terms of Service just killed our most important integration.	-5	0	-1	0	0	-5
90	I'll give you 10 million dollars if you agree to share offices with my Initech team.	3	-2	-2	-2	1	-1
91	We really hate sharing offices with Initech.	-5	3	-2	2	-3	-1
92	Initech employees managed to wipe all of our servers.	-4	-3	-5	-4	-5	-3
93	Donald Trump sent you an invite to attend his 4th wedding.	2	-1	-4	0	5	-1
94	We should invest company money to buy 1000 bitcoins.	2	0	-1	0	0	0
95	Bitcoin market crashes, your 1000 bitcoins are now worth $46.	-3	0	-1	0	0	-1
96	Dogecoin market crashes, your dogecoins are now worth $4.6.	-4	-1	-1	-5	-1	-1
97	Private emails between you and a former investor end up in the press.	-3	1	-2	-1	0	-5
98	Your co-founder gets a divorce and doesn't show up to work for a week.	0	3	-2	0	-3	-1
99	I want to spend $150,000 on this killer PR stunt!	0	-2	0	4	2	-4
100	I got a buddy working for Shark Tank - we should put together a crazy pitch!	1	0	-2	0	0	0
101	We caught an employee copying company files to their private Dropbox.	0	-2	-1	-2	0	-1
102	Our user data got wiped! Luckily an employee had a backup in Dropbox.	0	1	0	0	1	0
103	There's a fire in the server closet!	-3	0	-1	-3	0	-1
104	Umm, I just learned our codebase has no unit tests...	0	3	-3	-1	-3	-1
105	You're nominated for Forbes 30 under 30!	3	3	-5	1	2	0
106	I need next year’s budget plans.	2	-3	-3	-2	2	0
107	The new Go programmer claims he doesn't need generics.	2	-3	-3	-1	0	-1
108	Your lead developer calls you a n00b in front of the whole team.	-2	-2	-3	-1	-4	-1
109	You still haven't used your 7 days of mandatory vacation this year.	0	-2	-2	-1	2	-1
110	We suggest new markets after the pivot.	-3	2	0	2	-3	-3
111	We have a record number of customers this month.	-2	3	-3	0	-4	0
112	People are still talking about our epic party!	1	2	-1	1	2	-1
113	I just bought Snapchat spectacles for the whole team with company money. Rad!	-2	4	-2	0	-5	0
114	I've found 249 conflicts after ‘git merge develop master’ and it's three days before deadline.	2	-5	-2	-2	3	-4
115	A bunch of tech writers will be at this party tonight. Are you coming?	1	3	-2	0	-1	0
116	You get drunk, hit on every person in the room and end up being banned from TechCrunch forever.	-2	-1	-1	-2	-1	-1
117	Hey our partner wants to "touch base" - got time?	2	-3	-3	-2	3	0
118	People love our product, but I think it's because we're cheap. Should we raise the price?	1	3	0	3	-2	0
119	It turns out our app's name means "dick" in Japanese, what do we do?	-2	-3	-2	-5	-1	0
120	We have technical debt but need to start the next sprint.	-2	-4	-4	-1	-2	-5
121	Operations and Developers are fighting over Git workflow.	2	3	-5	-2	-3	0
122	Can I have a standing desk? I have a bad back.	0	-2	0	-2	1	-2
123	I see Chad got a standing desk. Can I have one too?	0	-2	0	-3	1	-3
124	I see frontend has standing desks. I have a bad back too...	0	-4	0	-3	1	-3
125	Everybody wants standing desks now - it's a can of worms!	0	-5	-3	-4	2	-3
126	Chad brought a dog to the office, but 2 other employees are allergic.	0	2	0	0	5	-2
127	The users are asking for more features.	-2	2	0	2	-3	-3
128	The Black Friday campaign is all set up but the discount codes don't work.	-2	3	0	3	-3	-2
129	Black Friday traffic has crashed our website and the developers are out shopping!	0	-2	-1	-3	0	-3
130	Our paid traffic ROI is low.	2	-2	-4	-2	3	0
131	Our payments system is offline.	-2	3	0	3	-2	-3
132	Our revenue is skyrocketing! But now we have to pay more taxes.	3	-2	-2	-3	2	0
133	Your alma mater wants you to do a commencement speech.	0	0	-3	0	-2	0
134	Forbes names you "The Most Inspiring College Drop-Out".	2	2	0	2	2	0
135	Hey, they want you on Celebrity Bachelorette.	-1	2	-4	0	-2	0
136	There's a new doughnut place next to the office.	-1	3	-1	0	-2	0
137	Our app got featured in the App Store!	3	5	0	5	5	-1
138	One of Google's star developers wants to join our startup.	3	0	-2	0	-1	0
139	Twitter is enraged because you bragged about your "all-man wreckin' crew".	0	-2	0	2	4	-4
140	Our employees are spending too much money on business travel.	0	3	-3	0	-3	0
141	You got featured in Business Insider and it's driving tons of traffic to us!	2	3	-1	2	3	-1
142	You come up with a cool new business idea and make tons of money.	3	2	-2	3	2	-2
143	Chad showed up at work in a tank top again. Should we enforce a formal dress code?	0	4	0	1	-4	-2
144	Your therapist suggests 30 days of rehab.	0	-3	0	-3	5	-3
145	Hey, we met in rehab. Are you still looking for investors?	4	1	0	0	-1	0
146	Three of our key employees want to go on a sabbatical... together.	0	-4	0	0	5	-5
147	We need to collect more e-mails for leads. I'm thinking full-page pop ups - EVERYWHERE.	-1	2	0	1	-1	-2
148	You're invited to a gala but all you own are black turtlenecks and jeans.	1	0	0	2	0	-2
149	Mashable wants to do an interview with you.	2	0	-2	0	0	0
150	Techcrunch wants to do a story about your company but you have to publish all your business data and investors advise you not to do it.	3	-2	-1	1	3	0
151	I want to build a startup game as a side-project - with our upsell, of course.	0	2	-2	0	-3	0
152	Chad quit to start a game studio, he took half our team with him!	-4	0	-3	-4	0	-3
153	Things are going well! Can we celebrate with weed?	0	-3	0	0	5	-3
154	Your developers disappear for two weeks.	0	0	-3	0	0	-3
155	There's a new overtime law and you have to raise salaries or hire more people to avoid paying higher overtime wages.	-2	3	0	-2	0	-3
156	We've moved our website to the hosting server but I'm still seeing the “Coming Soon” page.	-1	-3	-3	0	3	-5
157	Just got a call from the landlord - office rent is going up starting next month.	-2	-3	-3	-3	2	0
158	Your app's on ProductHunt today, Ryan Hoover tweets it with a :shrug: emoji.	-2	2	-3	-2	-2	0
159	Your angry tweets have been seen by Donald Trump. He wants to invest!	4	-2	0	4	-2	0
160	Your co-founder is leaving.	0	-3	-2	-1	2	-3
161	A tech giant is offering us a $300 million buyout!	0	0	0	3	-3	0
162	The offer is withdrawn at the last moment. Are we that terrible?	-5	2	-2	-5	2	-2
163	Recruiters have been sending aggressive emails to my engineers.	-2	3	0	2	0	-3
164	My designer brother told me that our home page looks ugly.	-2	2	-5	0	-2	0
165	Some users are asking for refunds after our service was down for an hour.	0	-2	0	-1	2	-2
166	Your site is not ranking well in Google.	3	0	-3	1	0	-1
167	We accidentally hired a black hat SEO and Google banned us	-5	0	-2	-5	0	-2
168	I heard an ex-employee is using our client list to promote their new product.	-2	-2	0	2	2	-5
169	Local startup club wants you to become a mentor to new startup founders.	2	2	-5	0	-2	0
170	We need to find alternative monetization options for our product.	-4	-1	0	3	0	-5
171	Customers are asking for phone support. Should we give them our number?	1	-2	-3	-2	1	0
172	Our customers are asking for a multilingual product.	-3	0	0	3	0	-3
173	Our site just got banned in China.	-3	-1	0	-3	-1	0
174	The Spotify team started using our product.	2	3	-2	1	1	0
175	The Red Cross wants to use our product with 100% discount.	0	-1	0	0	4	-3
176	One of the clients is demanding to "speak to a manager" about our refund policy.	-1	2	0	1	-2	-3
177	More and more customers are asking for a free trial.	0	0	0	1	0	-1
178	SXSW wants us to sponsor the event with $75,000, and they'll offer 6 banners and a website link in return.	-1	-2	0	2	2	-2
179	The Uber team just started using our app!	1	1	0	3	1	-2
180	Our app is booming in Japan!	1	1	0	3	1	-4
181	Lady Gaga just mentioned our app in an interview.	1	1	0	2	1	-3
182	Our leads are crap. We're not selling fast enough.	3	-3	-2	-3	1	-1
183	We should buy some print advertising, It'll be cheap, I promise	1	1	-2	0	-1	0
184	We should add a background video to our front page.	1	2	-5	0	-2	0
185	Our blog post is no. 1 on Hacker News!	2	4	0	2	4	0
186	New customers have a hard time finding the key features our product.	0	-2	-3	-2	2	-1
187	60% of your users quit before the trial period ends.	0	-3	-2	-2	0	-1
188	You should hire way more people.	0	-2	-2	-2	3	-1
189	A customer says your company's Google+ page is not up to date.	0	2	0	0	-3	-3
190	Our blog is pretty slow.	0	-2	-3	-1	2	0
191	Should we focus on brand awareness or lead generation?	-1	2	-3	4	-2	-1
192	The White House started to use our product but we can't publish this information.	0	1	0	1	2	-1
193	Somebody has registered a Twitter handle with your company name already but they have 0 followers.	2	0	-2	-2	0	0
194	Airbnb starts to use your product and wants to do a cross-promotion with you.	1	1	-4	0	-1	0
195	60 Minutes wants to do an interview with you.	2	0	-4	0	0	0
196	Good news! We just moved into our new office and things are looking bright.	0	2	-1	0	2	-1
197	You are invited to speak at SXSW about failure.	2	-3	-3	0	0	0
198	Our Time Square banner has our product name misspelled.	-2	-2	0	2	2	-3
199	An old friend comes to you with a cool new startup idea and wants you to be the cofounder.	-2	2	-4	1	-3	0
200	We should offer a public API.	1	0	-3	0	-2	0
201	We reached 100,000 Twitter followers.	2	2	0	2	2	0
202	We reached 10,000 paying customers.	2	2	0	2	2	0
203	Our company became profitable.	3	3	0	3	3	0
204	We reached 100,000 paying customers.	2	3	0	2	3	0
205	We just doubled our monthly revenue.	3	3	0	3	3	0
206	I just checked our company's bank account and saw 1 million dollars for the first time!	3	3	-2	3	3	-2
207	We just made a witty tweet about Beyonce and she retweeted it.	1	2	-3	1	1	0
208	Verizon wants to feature our product in their newsletter to 50K people.	1	3	-3	1	1	0
209	Yesterday's takeaway made everyone sick for a week.	0	-2	-10	0	-2	-10
210	We're halfway through the year. We should start thinking about money more.	0	0	0	0	0	0
211	Winter is coming. We need to hit 1 Billion soon.	0	0	0	0	0	0
